gene_accession,SRR13068848,ERR9708185,ERR9707208,SRR13068828,SRR13068830,ERR2198711,ERR2198654,SRR13712911,SRR13068839,ERR4320038,ERR4291163,SRR13712882,SRR4033068,ERR4319984,ERR4320005,SRR13844417,ERR9709065,SRR13844416,ERR9707206,SRR13022323,ERR9709308,SRR13712883,SRR13844463,SRR13022462,SRR13068816,SRR4033064,SRR13068840,SRR13068853,ERR2198709,SRR8667756,SRR15123534,SRR4435953,ERR4290680,SRR13844460,ERR9709394,SRR8667748,SRR4435948,SRR4033074,SRR15123562,SRR13068842,SRR13022378,SRR13712890,ERR4291161,SRR15123518,SRR11615763,SRR13712886,ERR4291147,SRR4435941,SRR13022400,ERR4320013,ERR4291114,SRR13022390,SRR13712875,SRR4435943,ERR4320083,SRR15123542,ERR2198710,SRR13022461,SRR13068844,ERR4319985,ERR9707878,SRR15123519,SRR13022276,ERR2198648,SRR13022398,ERR4319982,SRR13022301,ERR9707203,ERR9709279,ERR4290681,ERR4290684,SRR13068846,SRR4033076,SRR13022424,SRR15123516,SRR11615759,ERR9707883,SRR13022435,SRR13022382,ERR4320014,SRR13022431,SRR13068843,ERR4290868,SRR13068819,ERR9709441,SRR13844415,ERR9709452,ERR2198672,ERR9709067,SRR11615777,ERR4319954,SRR13068827,SRR13068851,SRR4033069,ERR4320082,SRR13068850,ERR4320001,ERR4320036,ERR9709393,ERR4320010,SRR8667746,SRR4033077,ERR2198673,SRR13844412,SRR13022299,SRR15123535,ERR9708136,ERR9709455,ERR4319981,ERR4319958,SRR13712912,SRR13022430,ERR9709066,SRR13712913,SRR4435956,ERR4320009,SRR4033075,SRR13068815,ERR4319952,ERR4320003,ERR4319949,SRR13844462,SRR13844390,SRR13022463,SRR13022445,ERR4320037,SRR13068841,ERR4319966,ERR4320072,SRR8667761,SRR15123553,ERR9709358,SRR4033065,SRR13844394,ERR4291172,SRR4033063,ERR9708137,SRR8667751,SRR13844413,SRR11615757,SRR15123517,SRR11615787,ERR9709079,SRR4435947,ERR4320006,ERR4320039,ERR9709417,SRR13022425,SRR13068826,SRR13068845,ERR4320011,SRR11615786,SRR8667753,ERR4290682,SRR15123561,ERR2198712,ERR9708963,SRR4435944,ERR9708141,SRR13022289,ERR4320007,SRR13068852,ERR2198632,ERR2198655,ERR4320084,ERR4319983,ERR2198636,ERR4290869,ERR4290683,SRR13022325,SRR4033072,ERR9709276,SRR13022396,SRR13712878,SRR11615760,ERR9709373,ERR4320004,SRR4435951,ERR4291155,ERR2198674,SRR13712879,ERR4320002,ERR9708953,SRR13022370,SRR13844461,ERR9708135,SRR15123532,ERR9709312,ERR2198652,SRR8667747,SRR13844393,SRR8667758,SRR4435949,SRR13022376,SRR15123550,SRR13712920,SRR13712884,SRR4033071,ERR9709501,SRR13068813,SRR8667749,SRR15123533,ERR4291148,ERR4291146,ERR4291162,SRR13022304,ERR4320070,ERR4320008,SRR13022428,ERR4290679,SRR13068814,ERR4320085,SRR13844392,ERR4320012,ERR4319962,SRR4435958,ERR9708962,SRR4033070,SRR13022305,SRR8667760,SRR8667755,ERR2198653,ERR4320040,SRR15123552,ERR2198637,SRR15123551,SRR13022278,ERR9709063,SRR8667754,ERR4320015,ERR9709530,SRR13022375,ERR4320071,SRR8667750,SRR13022322,ERR9707183,SRR13844391,SRR13068829,SRR11615764,ERR9708961,SRR13844379,SRR4435950,ERR9707885,SRR13712914,SRR11615766,SRR13068849,ERR9709458,SRR13022274,ERR4319950,SRR8667757,ERR4290678,SRR13712904,ERR9709070,SRR13712880,ERR9707182,SRR8667752,ERR9708959,ERR4320073,SRR11615769,SRR4435954,ERR9708133,SRR13068847,SRR11615758
MEG_3475|Drugs|betalactams|Class_A_betalactamases|KPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3865|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_928|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,26.0,0,0,319.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,250.0,100.0,81.0,88.0,77.0,3223.0,376.0,301.0,152.0,0,422.0,92.0,85.0,0,77.0,0,99.0,151.0,0,0,0,63.0,344.0,0,67.0,172.0,210.0,55.0,0,0,0,0,0,462.0,83.0,107.0,405.0,125.0,0,214.0,373.0,0,381.0,0,813.0,102.0,507.0,218.0,71.0,0,170.0,0,353.0,342.0,0,60.0,3063.0,160.0,140.0,102.0,0,0,154.0,2793.0,0,0,89.0,69.0,0,185.0,137.0,132.0,50.0,39.0,0,203.0,61.0,82.0,0,0,0,408.0,40.0,50.0,142.0,90.0,0,0,233.0,0,101.0,170.0,158.0,0,0,108.0,78.0,0,265.0,0,0,115.0,640.0,134.0,62.0,152.0,31.0,0,82.0,101.0,214.0,0,232.0,223.0,219.0,0,80.0,78.0,79.0,0,0,206.0,194.0,0,0,0,200.0,0,0,0,296.0,0,76.0,309.0,546.0,300.0,0,142.0,187.0,270.0,0,46.0,93.0,0,66.0,0,0,0,51.0,154.0,0,407.0,41.0,0,0,2780.0,0,130.0,0,105.0,66.0,139.0,1203.0,272.0,0,76.0,407.0,203.0,0,51.0,214.0,171.0,0,254.0,508.0,159.0,0,261.0,0,1221.0,79.0,0,644.0,254.0,117.0,75.0,0,180.0,0,0,0,75.0,730.0,210.0,0,463.0,0,523.0,0,120.0,0,0,465.0,0,453.0,65.0,49.0,42.0,0,411.0,75.0,0,149.0,0,0,111.0,56.0,235.0,98.0,0,0,494.0,72.0,0,957.0,0,250.0,363.0,0,0,96.0,211.0,0,0,0,97.0,325.0,162.0,256.0,115.0,0,373.0,282.0,0,149.0,80.0,219.0,130.0,0,0,758.0,350.0,0,101.0,0,0,147.0,87.0,212.0,584.0,0,290.0,290.0
MEG_6623|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6993|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,46.0,0,90.0,203.0,51.0,210.0,0,280.0,0,0,103.0,92.0,0,0,0,0,44.0,98.0,66.0,0,0,135.0,30.0,0,0,415.0,0,183.0,0,0,0,0,0,73.0,31.0,0,92.0,0,0,12.0,0,0,670.0,0,69.0,49.0,424.0,57.0,0,0,0,0,340.0,54.0,0,0,245.0,0,83.0,29.0,0,0,0,175.0,0,0,25.0,39.0,0,0,124.0,50.0,0,0,0,44.0,25.0,0,0,0,0,104.0,583.0,0,104.0,144.0,73.0,0,0,0,0,182.0,0,67.0,0,12.0,101.0,51.0,49.0,0,0,74.0,707.0,0,36.0,31.0,0,0,30.0,0,206.0,0,68.0,226.0,53.0,0,0,0,0,0,20.0,30.0,0,0,0,0,28.0,0,0,0,294.0,0,0,54.0,316.0,0,0,0,165.0,20.0,0,0,0,0,0,39.0,0,0,73.0,29.0,0,41.0,0,0,0,270.0,0,46.0,71.0,0,0,22.0,2050.0,108.0,0,16.0,0,0,0,31.0,102.0,0,0,56.0,154.0,152.0,0,38.0,0,1488.0,83.0,0,371.0,0,32.0,52.0,0,0,0,0,0,94.0,117.0,0,0,189.0,0,90.0,0,21.0,0,0,408.0,0,371.0,0,43.0,0,0,44.0,131.0,0,0,0,20.0,68.0,32.0,243.0,36.0,0,0,51.0,27.0,0,1257.0,0,61.0,97.0,0,0,0,75.0,0,0,0,69.0,59.0,42.0,79.0,39.0,0,110.0,214.0,0,37.0,0,83.0,0,21.0,0,0,66.0,19.0,46.0,0,0,0,0,65.0,115.0,0,112.0,0
MEG_404|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.0,0,0,0,0,982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,0,0,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7236|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0,0,0,0,0,607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0,0,133.0,0,145.0,0,0,0,0,0,0,0,0,0,562.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,0,84.0,0,0,282.0,0,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2091|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,32.0,40.0,14.0,0,275.0,112.0,0,0,45.0,47.0,0,0,370.0,0,0,564.0,482.0,0,50.0,0,16.0,109.0,0,0,0,0,0,11.0,107.0,0,0,260.0,0,0,0,0,37.0,507.0,106.0,19.0,0,782.0,32.0,0,0,0,16.0,0,42.0,21.0,513.0,0,0,0,16.0,0,107.0,60.0,0,0,0,0,0,0,0,0,0,16.0,503.0,0,395.0,0,33.0,215.0,0,0,0,0,0,18.0,0,0,111.0,0,38.0,0,0,1034.0,56.0,75.0,0,0,0,0,16.0,0,0,0,0,0,0,0,230.0,0,0,0,28.0,0,0,0,0,0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.0,28.0,109.0,0,0,600.0,0,0,133.0,0,62.0,59.0,0,30.0,77.0,0,57.0,0,0,50.0,0,0,583.0,91.0,0,397.0,0,0,0,0,0,534.0,0,22.0,0,28.0,0,440.0,0,0,195.0,0,0,24.0,0,0,82.0,834.0,138.0,0,0,0,0,0,24.0,0,35.0,789.0,0,389.0,0,0,0,0,0,136.0,0,209.0,82.0,0,0,77.0,74.0,0,0,0,0,0,0,0,24.0,0,0,0,0,381.0,0,0,0,0,466.0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,315.0,353.0,11.0,156.0,373.0,38.0,0,249.0,0,0,0,0,0,30.0,0,0,198.0,68.0,0,0,0,34.0,18.0,110.0
MEG_2690|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,26.0,21.0,18.0,0,13.0,0,0,0,26.0,0,0,8.0,372.0,0,0,134.0,318.0,0,15.0,0,14.0,90.0,0,0,0,0,0,0,0,0,0,149.0,0,0,0,0,40.0,503.0,75.0,0,0,636.0,20.0,0,0,0,0,11.0,31.0,0,419.0,0,0,10.0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,44.0,0,280.0,0,47.0,54.0,0,0,8.0,0,0,0,0,0,86.0,0,0,0,0,590.0,42.0,59.0,0,0,0,0,13.0,0,0,0,0,0,0,0,273.0,0,28.0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,18.0,106.0,0,0,95.0,0,0,65.0,0,27.0,35.0,0,13.0,0,0,37.0,0,0,19.0,0,0,493.0,15.0,0,273.0,0,0,0,0,0,521.0,0,18.0,0,22.0,7.0,119.0,0,0,157.0,13.0,0,15.0,0,0,92.0,134.0,147.0,0,0,0,0,7.0,12.0,0,23.0,108.0,0,172.0,0,0,0,0,0,60.0,0,0,71.0,0,0,0,53.0,0,11.0,0,0,0,0,0,14.0,0,0,0,0,247.0,0,0,0,0,515.0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,192.0,207.0,20.0,64.0,82.0,27.0,5.0,168.0,0,0,0,0,0,0,0,0,24.0,46.0,0,0,42.0,0,10.0,68.0
MEG_8176|Drugs|betalactams|Class_A_betalactamases|KPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6071|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6705|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4198|Metals|Nickel_resistance|Nickel_resistance_protein|NIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,0,0
MEG_4196|Metals|Nickel_resistance|Nickel_resistance_protein|NIRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,8.0,0,0,20.0,0,0,0,0,2.0,0,0
MEG_7410|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,0,565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.0,0,0,0,0,230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.0,0,0,0,0,0,0,0,0,0,0,0,162.0,0,0,0,0,0,2776.0,0,0
MEG_496|Drugs|betalactams|Class_C_betalactamases|ACT,0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2803|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,26.0,10.0,0,0,0,0,73.0,0,0,0,29.0,0,0,0,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,58.0,0,32.0,0,35.0,0,0,0,81.0,0,78.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,38.0,26.0,0,0,0,0,68.0,0,0,0,0,0,0,30.0,0,40.0,0,0,0,197.0,0,22.0,25.0,0,0,0,0,5.0,0,26.0,0,0,0,0,0,0,0,13.0,0,18.0,0,58.0,0,31.0,54.0,0,10.0,0,0,0,0,0,0,0,0,32.0,0,0,0,0,0,38.0,0,0,0,26.0,0,11.0,0,0,0,0,0,9.0,0,0,0,100.0,0,0,0,0,0,0,135.0,0,45.0,0,0,13.0,0,0,0,62.0,0,0,0,0,28.0,8.0,0,0,22.0,0,98.0,126.0,89.0,0,0,0,0,34.0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,112.0,0,0,0,0,0,0,62.0,0,24.0,0,0,15.0,0,70.0,0,0,0,0,0,11.0,0,108.0,0,0,0,0,0,0,0,0,0,110.0,0,0,32.0,0,0,0,0,0,0,0,0,14.0,0,0,20.0,0,101.0,0,34.0,0,0,0,40.0,81.0,11.0,43.0,0,0,64.0,0,0,0,135.0,0,0
MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,0,0,124.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,26.0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0,0,0
